id,title,labels,milestone,problem,proposal,acceptance,dependencies
16,Create sample: private note summarization,"area/samples,type/feature,priority/p1",M2 Alpha,The project needs a concrete demo that explains the value better than architecture docs.,"Build a sample note summarizer using fake local provider, OpenAI-compatible cloud provider, privacy toggle, and route trace display.",Sample runs on JVM or Android initially. | Local success scenario works. | Local unavailable -> cloud fallback scenario works. | Private/local-only scenario refuses cloud. | Route trace is visible in logs or UI.,"6,7,9,15"
17,Write Quickstart documentation,"area/docs,type/docs,priority/p1",M2 Alpha,Developers need a runnable path from install to first routed inference request.,"Create Quickstart with dependency setup, fake provider, OpenAI-compatible provider, policy, streaming, and tests.",Quickstart includes Gradle version catalog and Kotlin DSL examples. | Quickstart shows local-first/cloud-fallback. | Quickstart shows route trace. | Quickstart shows privacy local-only test. | All code snippets compile in sample/test.,"15,16"
18,Write provider adapter authoring guide,"area/docs,area/provider,type/docs,priority/p1",M2 Alpha,Runtime maintainers need clear guidance for writing adapters.,"Document provider contract, availability/capability mapping, streaming, cancellation, error mapping, privacy, and tests.",Guide explains adapter responsibilities and non-responsibilities. | Guide includes minimal provider implementation. | Guide includes adapter test checklist. | Guide explains maturity levels. | Guide lists known adapter candidates.,"3,9"
19,Design JSON/schema structured output support,"area/validation,type/rfc,priority/p1",M2 Alpha,"Structured output is a major use case, but provider support varies and schema validation can be complex.","Write RFC and initial API for JSON/schema validation, parsing, and repair fallback.",RFC covers serializer-based parsing. | RFC covers schema-constrained providers vs post-hoc validation. | RFC covers streamed partial JSON as post-MVP. | Initial API can validate final JSON text. | Tests demonstrate malformed local JSON -> cloud repair.,8
20,Add route journal interface,"area/reliability,type/feature,priority/p2",M3 Production hardening,Policies may need recent failure/cooldown information to avoid repeatedly choosing bad providers.,"Define `RouteJournal` and in-memory implementation for provider attempt history, failures, and cooldowns.",Attempt outcomes can be recorded. | Recent failures can be queried by provider. | Cooldown can be represented. | Policy can optionally consume journal. | Docs include examples.,"5,14"
21,Add timeout and retry semantics,"area/reliability,type/feature,priority/p1",M2 Alpha,Provider calls need predictable timeout and retry behavior before fallback.,Add attempt timeout support and stable retry/fallback categories. Keep retry minimal in core; prefer fallback over hidden retries.,Request-level timeout works. | Attempt-level timeout works. | Timeout maps to stable error/fallback reason. | Retries are explicit and observable if implemented. | Tests cover timeout -> fallback.,"4,6"
22,Evaluate first local adapter choice,"area/research,area/provider,type/research,priority/p1",M2 Alpha,The first real local adapter should maximize learning without trapping the project in runtime churn.,"Compare Apple Foundation Models, Firebase AI Logic on-device/Android, Llamatik, Cactus, LiteRT-LM, and MLC LLM for first adapter.","Comparison matrix includes platform support, licensing, maturity, API stability, streaming, structured output, model management, and KMP fit. | Recommendation is documented. | Adapter issue is created for the selected choice. | Risks and deferred candidates are documented.",
23,Prototype Android local/platform adapter,"area/provider,platform/android,type/feature,priority/p2",M3 Mobile proof,The project needs one real Android local or platform inference path to prove value on-device.,Implement experimental Android adapter based on selected runtime/platform path.,Adapter compiles in Android target. | Availability and capability mapping are implemented. | Basic text generation works on supported environment or sample stub documents setup. | Unsupported devices/models return stable availability/capability reasons. | Adapter is marked experimental.,22
24,Prototype iOS local/platform adapter,"area/provider,platform/ios,type/feature,priority/p2",M3 Mobile proof,The project needs an iOS path to prove KMP value beyond Android/JVM.,"Implement experimental iOS adapter based on selected platform/runtime path, likely behind expect/actual and Swift interop as needed.",Adapter compiles for iOS target. | Availability/capability mapping is implemented. | Setup docs explain required OS/device constraints. | Unsupported devices return stable reasons. | Adapter is marked experimental.,22
25,Create cross-platform sample app,"area/samples,platform/android,platform/ios,type/feature,priority/p2",M3 Mobile proof,A KMP library needs a mobile sample that demonstrates shared request/policy/test code and platform-specific providers.,Build a minimal Android/iOS sample using common inference code and platform-specific provider modules.,Common code defines request and policy. | Android provider configured in Android app. | iOS provider configured in iOS app. | Route trace shows actual provider used. | Docs explain platform differences.,"16,23,24"
26,Add SQLDelight artifact store prototype,"area/storage,type/feature,priority/p2",M3 Production hardening,Early adopters may need persistent artifacts and route traces.,Implement SQLDelight-backed artifact store and route journal prototype.,Artifact records persist across process restart. | Route attempts persist. | Privacy no-prompt/no-output persistence is honored. | Schema migrations are tested. | Docs include retention guidance.,"12,20"
27,Add OpenTelemetry monitor exporter,"area/observability,type/feature,priority/p2",M3 Production hardening,Production teams need to export inference route metrics to their observability stack.,Implement optional OpenTelemetry exporter module for route spans and metrics.,Request route is represented as span(s). | Provider attempts include attributes. | Fallback reasons are exported. | Prompts/outputs are redacted by default. | Docs include setup and attribute list.,14
28,Create Meeseeks provider inventory refresh worker,"area/meeseeks,type/feature,priority/p2",M4 Meeseeks lifecycle,"Foreground route planning benefits from cached provider/model availability, but probing every time can be expensive.",Add optional Meeseeks worker that refreshes provider inventory in the background.,Worker payload supports provider IDs. | Worker calls provider availability/capability probes. | Worker writes provider inventory records. | Scheduling helper is documented. | Tests use fake providers and fake Meeseeks/runtime where possible.,20
29,Create Meeseeks model warmup worker,"area/meeseeks,type/feature,priority/p3",M4 Meeseeks lifecycle,Local models may have high first-token latency unless warmed before use.,Define optional provider lifecycle interface and Meeseeks worker for model warmup.,Provider lifecycle interface includes warmup if supported. | Worker checks preconditions before warmup. | Warmup failures are recorded without crashing. | Docs include scheduling example. | Adapter support is optional.,28
30,Create Meeseeks telemetry upload worker,"area/meeseeks,area/observability,type/feature,priority/p3",M4 Meeseeks lifecycle,Apps may want to batch and retry telemetry upload without impacting foreground inference.,Add optional worker that uploads redacted route telemetry batches.,Telemetry payload excludes raw prompt/output by default. | Worker retries transient upload failures. | Worker respects telemetry permission. | Docs include privacy notes. | Tests cover redaction.,"14,28"
31,Write security and privacy guide,"area/docs,area/security,type/docs,priority/p1",M2 Alpha,"Users need clear guidance on privacy policies, cloud fallback, logging, persistence, and telemetry.","Write a security/privacy guide with defaults, examples, test assertions, and adapter checklist.",Guide explains privacy profiles. | Guide shows local-only cloud denial. | Guide explains redaction defaults. | Guide includes cache persistence advice. | Guide includes adapter checklist.,"7,14"
32,Create competitive landscape document,"area/research,type/docs,priority/p2",M0 Validation,"The project needs a clear explanation of why it exists alongside Firebase AI Logic, Apple Foundation Models, LiteRT-LM, ExecuTorch, MLC, Llamatik, and Cactus.",Write comparison matrix and positioning doc focused on orchestration vs runtime execution.,Matrix includes runtime/provider projects and their strengths. | Document identifies overlap and differentiation. | Document avoids inaccurate claims. | README links to the document. | Sources are cited with links.,
33,Open public RFC discussion for core API,"area/community,type/rfc,priority/p1",M0 Validation,The API should be pressure-tested before implementation hardens.,"Publish RFC-0001 and RFC-0002 as GitHub discussions and solicit feedback from Store, KMP, and local inference communities.",RFC discussion created. | Questions are explicit. | Feedback is summarized. | Decisions are captured in ADRs. | Follow-up issues are created.,
34,Build validation demo with fake providers,"area/demo,type/feature,priority/p0",M0 Validation,Potential users need to see the value without waiting for real provider adapters.,Create runnable JVM/CLI demo using fake local/cloud providers and three route scenarios.,Demo shows local success. | Demo shows local unavailable -> cloud fallback. | Demo shows local schema invalid -> cloud repair. | Demo shows local-only privacy denial. | Demo prints route trace.,"4,6,8,9"
35,Set up release automation and snapshot publishing,"area/build,type/task,priority/p2",M2 Alpha,Early adopters need reproducible artifacts and snapshots.,"Configure CI, signing/publishing path, changelog, versioning, and release notes.",Snapshots can be published. | Release checklist is documented. | Changelog exists. | Version catalog examples use published coordinates. | CI validates target matrix.,1
36,Create documentation site skeleton,"area/docs,type/task,priority/p2",M2 Alpha,The project needs docs similar in quality and navigability to Store/Meeseeks.,"Set up docs site skeleton with sections for get started, concepts, guides, adapters, testing, and security.","Docs IA is committed. | Quickstart page exists. | Concept pages exist for store, provider, policy, validator, artifact store, monitor. | Adapter guide exists. | Docs can be built locally.","17,18,31"
